year,month,total,fatal
2020,1,9591,146
2020,2,8546,116
2020,3,6551,97
2020,4,3298,78
2020,5,5599,87
2020,6,6721,99
2020,7,8157,136
2020,8,8875,147
2020,9,9258,133
2020,10,8865,112
2020,11,7610,114
2020,12,8128,126
2021,1,5570,88
2021,2,5251,56
2021,3,6824,84
2021,4,8463,110
2021,5,9120,116
2021,6,9623,117
2021,7,9608,166
2021,8,8726,148
2021,9,9871,145
2021,10,9711,163
2021,11,9975,138
2021,12,8345,143
2022,1,9027,151
2022,2,7678,113
2022,3,8823,135
2022,4,7933,128
2022,5,9177,123
2022,6,9349,131
2022,7,9167,146
2022,8,8939,152
2022,9,8776,122
2022,10,9334,128
2022,11,9592,135
2022,12,8209,138
2023,1,8754,120
2023,2,7558,96
2023,3,8183,104
2023,4,7750,104
2023,5,9075,146
2023,6,9750,132
2023,7,9162,126
2023,8,8417,147
2023,9,9017,146
2023,10,9143,121
2023,11,9161,126
2023,12,8288,154
