police_force_label,total_accidents,fatal_accidents,total_casualties,fatal_rate_%
Metropolitan Police,89965,367,103881,0.41
West Midlands,18245,184,24551,1.01
West Yorkshire,15294,197,19834,1.29
City of London,15044,197,20060,1.31
Avon and Somerset,13486,171,17432,1.27
Kent,13084,185,16260,1.41
Surrey,11945,214,14808,1.79
Sussex,11055,170,14585,1.54
Dorset,10999,179,14871,1.63
Greater Manchester,10741,238,13921,2.22
Lancashire,10596,133,14405,1.26
Essex,10337,101,13220,0.98
Devon and Cornwall,9051,148,11501,1.64
South Yorkshire,8311,135,10948,1.62
Merseyside,8112,89,10087,1.1
Cambridgeshire,7446,100,9162,1.34
Humberside,7418,127,9374,1.71
Northumbria,7234,105,9243,1.45
Leicestershire,6990,104,8991,1.49
Norfolk,6255,175,8327,2.8
Cheshire,6178,93,7698,1.51
West Mercia,6149,171,8184,2.78
Bedfordshire,5590,130,7471,2.33
Hertfordshire,5585,137,7610,2.45
South Wales,5293,68,6630,1.28
North Yorkshire,5108,141,6790,2.76
Gwent,4948,87,6518,1.76
Hampshire,4746,61,6592,1.29
Suffolk,4562,119,5952,2.61
Thames Valley,4153,70,5548,1.69
Warwickshire,3570,78,4735,2.18
Dyfed-Powys,3450,86,4589,2.49
Cumbria,3215,90,4172,2.8
Staffordshire,3088,112,4131,3.63
Northern Ireland (PSNI),3017,104,3951,3.45
Cleveland,2474,43,3344,1.74
Durham,2424,74,3227,3.05
Gloucestershire,603,2,647,0.33
