year,month,accidents,fatalities,rolling_3m,rolling_12m
2020,1,9591,146,,
2020,2,8546,116,8229.333333333334,
2020,3,6551,97,6131.666666666667,
2020,4,3298,78,5149.333333333333,
2020,5,5599,87,5206.0,
2020,6,6721,99,6825.666666666667,6717.666666666667
2020,7,8157,136,7917.666666666667,6923.285714285715
2020,8,8875,147,8763.333333333334,7167.25
2020,9,9258,133,8999.333333333334,7399.555555555556
2020,10,8865,112,8577.666666666666,7546.1
2020,11,7610,114,8201.0,7551.909090909091
2020,12,8128,126,7102.666666666667,7599.916666666667
2021,1,5570,88,6316.333333333333,7264.833333333333
2021,2,5251,56,5881.666666666667,6990.25
2021,3,6824,84,6846.0,7013.0
2021,4,8463,110,8135.666666666667,7443.416666666667
2021,5,9120,116,9068.666666666666,7736.833333333333
2021,6,9623,117,9450.333333333334,7978.666666666667
2021,7,9608,166,9319.0,8099.583333333333
2021,8,8726,148,9401.666666666666,8087.166666666667
2021,9,9871,145,9436.0,8138.25
2021,10,9711,163,9852.333333333334,8208.75
2021,11,9975,138,9343.666666666666,8405.833333333334
2021,12,8345,143,9115.666666666666,8423.916666666666
2022,1,9027,151,8350.0,8712.0
2022,2,7678,113,8509.333333333334,8914.25
2022,3,8823,135,8144.666666666667,9080.833333333334
2022,4,7933,128,8644.333333333334,9036.666666666666
2022,5,9177,123,8819.666666666666,9041.416666666666
2022,6,9349,131,9231.0,9018.583333333334
2022,7,9167,146,9151.666666666666,8981.833333333334
2022,8,8939,152,8960.666666666666,8999.583333333334
2022,9,8776,122,9016.333333333334,8908.333333333334
2022,10,9334,128,9234.0,8876.916666666666
2022,11,9592,135,9045.0,8845.0
2022,12,8209,138,8851.666666666666,8833.666666666666
2023,1,8754,120,8173.666666666667,8810.916666666666
2023,2,7558,96,8165.0,8800.916666666666
2023,3,8183,104,7830.333333333333,8747.583333333334
2023,4,7750,104,8336.0,8732.333333333334
2023,5,9075,146,8858.333333333334,8723.833333333334
2023,6,9750,132,9329.0,8757.25
2023,7,9162,126,9109.666666666666,8756.833333333334
2023,8,8417,147,8865.333333333334,8713.333333333334
2023,9,9017,146,8859.0,8733.416666666666
2023,10,9143,121,9107.0,8717.5
2023,11,9161,126,8864.0,8681.583333333334
2023,12,8288,154,,8688.166666666666
